StargazeAddress,CosmosAddress,Balance,IsStaking
stars1jmfnwmq9ga02klaavfkt7lvqhhd8amfzxxdczj,cosmos1jmfnwmq9ga02klaavfkt7lvqhhd8amfzj669fr,19.568668,Yes
stars1tr2glw6u98kvrd5ulmslzdwvkgg6r23qlrf9h6,cosmos1tr2glw6u98kvrd5ulmslzdwvkgg6r23qtl7cut,0.078293,No
stars1u7trr5evlf50h4nq20vytmrcqkr8k6dh0w8a7p,cosmos1u7trr5evlf50h4nq20vytmrcqkr8k6dhmjsq4s,0,No
stars1w3anj8nxqfa9566py5vy5xazuwpvs89rxjhf86,cosmos1w3anj8nxqfa9566py5vy5xazuwpvs89rjwq5vt,12.760736,Yes
stars1442jxc2sdh0rpw20lt0w2gep50kypjy3culxc2,cosmos1442jxc2sdh0rpw20lt0w2gep50kypjy3vqgmnm,0.089391,Yes
stars1z59jthw5mqwuafdyhac5m0643d4pj90sn65uy0,cosmos1z59jthw5mqwuafdyhac5m0643d4pj90s8xrp07,0,No
stars16de4c0lht0dtjrkmpkvjy88t6nkvwtguh6hrmp,cosmos16de4c0lht0dtjrkmpkvjy88t6nkvwtgurxq7ss,0.000101,No
stars1dhrsdcmhmkflfgfeth9lquajj5xgj70hm0wqf2,cosmos1dhrsdcmhmkflfgfeth9lquajj5xgj70h0neazm,0,No
stars1k506k73lfxnyhuctv3zzse4xlr0xqznjnypur8,cosmos1k506k73lfxnyhuctv3zzse4xlr0xqznj8ckpgk,0.198098,Yes
stars142cvfqqkew57awj8xh47agz98qsz987e5unuws,cosmos142cvfqqkew57awj8xh47agz98qsz987eqqyp9p,33.628425,Yes
stars1w8n4twwlms2043fedj8wqenykkv8kg7tk090q6,cosmos1w8n4twwlms2043fedj8wqenykkv8kg7tznjjtt,55.366876,Yes
stars19herg3nvvuyzzp74yryk44m5lf80na8mhnuyjhqf5p70rrfzff8szrn2fu,cosmos19herg3nvvuyzzp74yryk44m5lf80na8mhnuyjhqf5p70rrfzff8s5yhdxy,0,No
stars14jayw662dsn2u050lmhpysqu64dz02cvv65nc2,cosmos14jayw662dsn2u050lmhpysqu64dz02cvcxrwnm,0.056024,Yes
stars1lh92u26zkv0sdfuf200cqyzv9exquwt3m5xksa,cosmos1lh92u26zkv0sdfuf200cqyzv9exquwt30g3tmv,1.003056,No
stars1apchfng8gye3e4lgxyfdlmq2ud2sdf6jad362gu2dufcma494xts3uvh4s,cosmos1apchfng8gye3e4lgxyfdlmq2ud2sdf6jad362gu2dufcma494xts8mgs6g,0,No
stars1t956cl47cegq253gduen7ezpxdeawhat2l7ssa,cosmos1t956cl47cegq253gduen7ezpxdeawhat7rfdmv,0,No
stars1lsghu2xcaddsy23fta9gq06cv64wgqx973rgxh,cosmos1lsghu2xcaddsy23fta9gq06cv64wgqx92d54dx,0.020194,Yes
stars1shmytvj3rsmyyajwyx6s08wclvsg3mlyrcycwk,cosmos1shmytvj3rsmyyajwyx6s08wclvsg3mlyhyn998,0,Yes
stars1hdsmz2kqftgk2ypa5t62aauvl0y3c2nf7tqh76,cosmos1hdsmz2kqftgk2ypa5t62aauvl0y3c2nf2hh24t,0.037229,Yes
stars1ppw4g9zpk2e92et7p6j5ack2qzmh8mc4z6r8nc,cosmos1ppw4g9zpk2e92et7p6j5ack2qzmh8mc4kx56cf,0.004254,Yes
stars1x4mcdyshfdxnpzeh3se46p89ax9ehkj6g9ezfu,cosmos1x4mcdyshfdxnpzeh3se46p89ax9ehkj6uewlzd,0,No
stars1w9r32nlqtthyst0l8flq09c86psqwar5zl0hm9,cosmos1w9r32nlqtthyst0l8flq09c86psqwar5krc2s5,0.117006,No
stars1l0sd4kzakf6z3uz26l8ff0hg08x9etvu0nyr8l,cosmos1l0sd4kzakf6z3uz26l8ff0hg08x9etvum0n7vw,0,No
stars1vzcy66ls4pdjqtscr077559frlsatfzcwj3f4u,cosmos1vzcy66ls4pdjqtscr077559frlsatfzc6wx57d,1.31294,Yes
stars1ylm75gruqyhfg5dkeh4k53xsfqlumzr2zdrhg3,cosmos1ylm75gruqyhfg5dkeh4k53xsfqlumzr2k352rq,0.000583,Yes
stars1d4ycqdpnur9a8vhllcm0dmra3qyzanad5fhlrw,cosmos1d4ycqdpnur9a8vhllcm0dmra3qyzanadq4qzgl,0.722853,No
stars10mkczsrf8snhdhazkf7lav2hjdctyupv8q26en,cosmos10mkczsrf8snhdhazkf7lav2hjdctyupvnua8jz,2.754806,Yes
stars1shag0jnx6c3l7rnzpmvf8f69vpelq02t86mvl0,cosmos1shag0jnx6c3l7rnzpmvf8f69vpelq02tnxv357,0,No
stars16mequypt98tw2h4unfqrexx5zngl32949whc0k,cosmos16mequypt98tw2h4unfqrexx5zngl32943jq9y8,0.905451,Yes
stars1tdry23dspgsmp55zywtjgw0f57neevvwn7xe4l,cosmos1tdry23dspgsmp55zywtjgw0f57neevvw8z3y7w,0,Yes
stars1p3fu0k53le5pn3n3gtgz6pakz8c5zdep3tduar,cosmos1p3fu0k53le5pn3n3gtgz6pakz8c5zdep9h6pkj,0,No
stars1unpdx5evzsq67uyxwdjkhqz4undtt6ahsfd72j,cosmos1unpdx5evzsq67uyxwdjkhqz4undtt6ahy46rpr,0.143207,No
stars1gf2ccgcz7s3dujftk23vhkwy2442ya0xed8tu7,cosmos1gf2ccgcz7s3dujftk23vhkwy2442ya0xd3skh0,0,No
stars135f5ezjzsf6yss6d0ar8cn3c7ecu85gh8fvklh,cosmos135f5ezjzsf6yss6d0ar8cn3c7ecu85ghn4mt5x,0,No
stars1yz3tdh39fq9v5pu9deeyvy5ndums7g8nmekfgq,cosmos1yz3tdh39fq9v5pu9deeyvy5ndums7g8n09p5r3,0,No
stars1wxftsh6af8hs97ep6wmm8cvfvk2hvwhmzyj92z,cosmos1wxftsh6af8hs97ep6wmm8cvfvk2hvwhmkc9cpn,0.483471,Yes
stars1lszvrplsyt4lm9zcwc5ca50zlnhw77sj3jcxee,cosmos1lszvrplsyt4lm9zcwc5ca50zlnhw77sj9w0mjg,0.322308,No
